,match,profit
0,b'\xfd8\x00\x00\x00\x00\x00\x00',-534.4346475047588
1,b'\x844\x00\x00\x00\x00\x00\x00',-534.3946979607591
2,b'\x97/\x00\x00\x00\x00\x00\x00',-534.2449102556513
3,b'\xc7=\x00\x00\x00\x00\x00\x00',-533.953656353532
4,b'-\x1f\x00\x00\x00\x00\x00\x00',-533.890879016089
5,b'\x14!\x00\x00\x00\x00\x00\x00',-533.6381463978918
6,2169,-533.5096028956032
7,4766,-533.5096028956032
8,5023,-533.5096028956032
9,6091,-533.5096028956032
10,6394,-533.5096028956032
11,b'\x1c)\x00\x00\x00\x00\x00\x00',-533.3291144754899
12,b'\x02D\x00\x00\x00\x00\x00\x00',-533.2848900061306
13,b'3\x19\x00\x00\x00\x00\x00\x00',-532.9661548841367
14,b'\xb9/\x00\x00\x00\x00\x00\x00',-532.7906570518345
15,b'\x87/\x00\x00\x00\x00\x00\x00',-532.7631333853847
16,b'>*\x00\x00\x00\x00\x00\x00',-532.65043409131
17,b'B@\x00\x00\x00\x00\x00\x00',-532.5745083753426
18,b'R\x10\x00\x00\x00\x00\x00\x00',-532.4064882606342
19,b'\x1e\x04\x00\x00\x00\x00\x00\x00',-532.3691513432649
20,b'j&\x00\x00\x00\x00\x00\x00',-532.1927290477007
21,b'n \x00\x00\x00\x00\x00\x00',-532.06210248206
22,"b""\xaf'\x00\x00\x00\x00\x00\x00""",-531.9965781131407
23,b'\xb0\x00\x00\x00\x00\x00\x00\x00',-531.8917805224264
24,b'\x95+\x00\x00\x00\x00\x00\x00',-531.740100234623
25,b'\xce\x12\x00\x00\x00\x00\x00\x00',-531.7324469786857
26,b'\xd7\x15\x00\x00\x00\x00\x00\x00',-531.5234067189677
27,b'\xcc)\x00\x00\x00\x00\x00\x00',-531.4617553334958
28,b'\xd6\x18\x00\x00\x00\x00\x00\x00',-531.1640117389423
29,"b""'\x08\x00\x00\x00\x00\x00\x00""",-531.0748900461374
30,b'\x997\x00\x00\x00\x00\x00\x00',-531.0506742015209
31,b'\xff\x0e\x00\x00\x00\x00\x00\x00',-531.028290643839
32,b'\xca\x1c\x00\x00\x00\x00\x00\x00',-530.9025758274194
33,b'+\x1c\x00\x00\x00\x00\x00\x00',-530.7830756808974
34,b'S8\x00\x00\x00\x00\x00\x00',-530.6679886399887
35,"b""!'\x00\x00\x00\x00\x00\x00""",-530.5959501156088
36,b'd&\x00\x00\x00\x00\x00\x00',-530.5138165109693
37,b'\xbc)\x00\x00\x00\x00\x00\x00',-530.3838191178238
38,b'\xe0\x02\x00\x00\x00\x00\x00\x00',-530.2781463006072
39,b'\xb0\x15\x00\x00\x00\x00\x00\x00',-530.1734047456421
40,b'\x80>\x00\x00\x00\x00\x00\x00',-530.0742721566362
41,b'\xe3@\x00\x00\x00\x00\x00\x00',-530.020757991929
42,"b'\x08""\x00\x00\x00\x00\x00\x00'",-530.0184329622452
43,b'\xc9)\x00\x00\x00\x00\x00\x00',-529.8865708766169
44,b'\xaf?\x00\x00\x00\x00\x00\x00',-529.7291164435006
45,b'\x116\x00\x00\x00\x00\x00\x00',-529.7082338402963
46,b'A:\x00\x00\x00\x00\x00\x00',-529.6046291871804
47,b'A\x01\x00\x00\x00\x00\x00\x00',-529.4635383433834
48,b'\x0cC\x00\x00\x00\x00\x00\x00',-529.2992033739705
49,b'\xab\x1c\x00\x00\x00\x00\x00\x00',-529.291137190372
50,b'\xff?\x00\x00\x00\x00\x00\x00',-529.1894385179004
51,b'C=\x00\x00\x00\x00\x00\x00',-529.1736811442287
52,b'\xd9\x11\x00\x00\x00\x00\x00\x00',-529.1549142741537
53,b'&\t\x00\x00\x00\x00\x00\x00',-529.1539292252282
54,b'\x06D\x00\x00\x00\x00\x00\x00',-529.136162123999
55,b'R6\x00\x00\x00\x00\x00\x00',-529.1029996487742
56,b'\x04=\x00\x00\x00\x00\x00\x00',-528.8662348765579
57,b'\xdd\x17\x00\x00\x00\x00\x00\x00',-528.8196382776669
58,"b'p,\x00\x00\x00\x00\x00\x00'",-528.5594514816296
59,b'\xd8\x05\x00\x00\x00\x00\x00\x00',-528.4586251817755
60,b'x2\x00\x00\x00\x00\x00\x00',-528.1387943630554
61,b'\xb6\x07\x00\x00\x00\x00\x00\x00',-528.1027103662599
62,b'\xb2\x0c\x00\x00\x00\x00\x00\x00',-528.0777982604512
63,b'V?\x00\x00\x00\x00\x00\x00',-528.0560030245575
64,b'\xb1=\x00\x00\x00\x00\x00\x00',-528.0367423589458
65,b'3\r\x00\x00\x00\x00\x00\x00',-528.0312083704139
66,b'\xb34\x00\x00\x00\x00\x00\x00',-527.925645126772
67,b'\xb2\x12\x00\x00\x00\x00\x00\x00',-527.8320080011923
68,b'e\x0e\x00\x00\x00\x00\x00\x00',-527.8159795744494
69,b'y\x00\x00\x00\x00\x00\x00\x00',-527.7359701381863
70,b'\x1d\x1c\x00\x00\x00\x00\x00\x00',-527.7234343218996
71,b'v\x1c\x00\x00\x00\x00\x00\x00',-527.4965560471966
72,b'\x1b\n\x00\x00\x00\x00\x00\x00',-527.467446379901
73,b'b7\x00\x00\x00\x00\x00\x00',-527.4363132726537
74,"b""w'\x00\x00\x00\x00\x00\x00""",-527.4304202289431
75,b'\xdb\x1b\x00\x00\x00\x00\x00\x00',-527.3365298027113
76,b'i\x1a\x00\x00\x00\x00\x00\x00',-527.3131174317815
77,b'(;\x00\x00\x00\x00\x00\x00',-527.2469203980593
78,b'\xe8\x0c\x00\x00\x00\x00\x00\x00',-527.1843620149413
79,b'\xb5\x16\x00\x00\x00\x00\x00\x00',-527.03935074282
80,b'\xcb\x06\x00\x00\x00\x00\x00\x00',-527.0252846571022
81,b'\x98\x1c\x00\x00\x00\x00\x00\x00',-526.9609577994288
82,b'\xee0\x00\x00\x00\x00\x00\x00',-526.6907644186509
83,b'\x7f6\x00\x00\x00\x00\x00\x00',-526.6165562252384
84,"b'Y,\x00\x00\x00\x00\x00\x00'",-526.5487359464812
85,b'&\n\x00\x00\x00\x00\x00\x00',-526.521910409898
86,b'\xf7\x00\x00\x00\x00\x00\x00\x00',-526.0102469769664
87,b'\xf2\x1c\x00\x00\x00\x00\x00\x00',-525.9164384664474
88,b'lB\x00\x00\x00\x00\x00\x00',-525.7484043374949
89,b'\xd2\x02\x00\x00\x00\x00\x00\x00',-525.6990778990238
90,b'\x9c\x1c\x00\x00\x00\x00\x00\x00',-525.281545806689
91,b'\x9f\x15\x00\x00\x00\x00\x00\x00',-525.2478561050422
92,b'$&\x00\x00\x00\x00\x00\x00',-525.1836933750482
93,b'\xc35\x00\x00\x00\x00\x00\x00',-525.0099520497736
94,b'\xd03\x00\x00\x00\x00\x00\x00',-525.0021390539972
95,b'\xb9%\x00\x00\x00\x00\x00\x00',-524.9117032877532
96,b'\x02\x17\x00\x00\x00\x00\x00\x00',-524.8946494124581
97,b'a5\x00\x00\x00\x00\x00\x00',-524.7880056251349
98,b'~4\x00\x00\x00\x00\x00\x00',-524.7460080920495
99,b'\xed.\x00\x00\x00\x00\x00\x00',-524.6751745057464
100,b'9?\x00\x00\x00\x00\x00\x00',-524.6079920038337
101,b'\xea6\x00\x00\x00\x00\x00\x00',-524.5843903534584
102,b'\xef\n\x00\x00\x00\x00\x00\x00',-524.5484121939924
103,b'h9\x00\x00\x00\x00\x00\x00',-524.4218021236794
104,b'L\x01\x00\x00\x00\x00\x00\x00',-524.3663120344347
105,b'\x969\x00\x00\x00\x00\x00\x00',-524.1841514423733
106,b'\x84%\x00\x00\x00\x00\x00\x00',-523.9908421329536
107,b'K\x1b\x00\x00\x00\x00\x00\x00',-523.9086008559561
108,b'\xb0<\x00\x00\x00\x00\x00\x00',-523.6883310562741
109,b'\xd41\x00\x00\x00\x00\x00\x00',-523.4320234047618
110,b'\x084\x00\x00\x00\x00\x00\x00',-523.3750288861978
111,b'B\x06\x00\x00\x00\x00\x00\x00',-522.997261965553
112,b'\xb8\n\x00\x00\x00\x00\x00\x00',-522.9887827888599
113,b'/B\x00\x00\x00\x00\x00\x00',-522.9747967949725
114,b'33\x00\x00\x00\x00\x00\x00',-522.9527699750126
115,b'\xd5\x01\x00\x00\x00\x00\x00\x00',-522.5780505645624
116,b'\x03\x10\x00\x00\x00\x00\x00\x00',-522.5774182924969
117,b'!;\x00\x00\x00\x00\x00\x00',-522.5000723785195
118,b'K\x14\x00\x00\x00\x00\x00\x00',-522.3837396200852
119,b'\x94\x10\x00\x00\x00\x00\x00\x00',-522.3718027108125
120,b'\xc6\x15\x00\x00\x00\x00\x00\x00',-522.3280484259644
121,b'\xd68\x00\x00\x00\x00\x00\x00',-522.2842509941042
122,b'\xaa\x12\x00\x00\x00\x00\x00\x00',-522.271168886131
123,b'\x8eA\x00\x00\x00\x00\x00\x00',-522.1846445959994
124,"b'\xb4,\x00\x00\x00\x00\x00\x00'",-522.1156925116484
125,b'[\x02\x00\x00\x00\x00\x00\x00',-522.046647739112
126,b'\xaa\x0c\x00\x00\x00\x00\x00\x00',-521.8713619540363
127,b'\xd3%\x00\x00\x00\x00\x00\x00',-521.8615563688847
128,b'\x06\x0b\x00\x00\x00\x00\x00\x00',-521.7236155664829
129,b'H\x19\x00\x00\x00\x00\x00\x00',-521.6481842677227
130,b'!\x1f\x00\x00\x00\x00\x00\x00',-521.6099424206712
131,b'\xf0.\x00\x00\x00\x00\x00\x00',-521.5059748142738
132,b'M5\x00\x00\x00\x00\x00\x00',-521.443158691547
133,b'\xaa\n\x00\x00\x00\x00\x00\x00',-521.3749965180136
134,b'\x8b2\x00\x00\x00\x00\x00\x00',-521.3329562684654
135,"b'\x9f,\x00\x00\x00\x00\x00\x00'",-521.2934526248163
136,b'\xb6\x03\x00\x00\x00\x00\x00\x00',-521.270355071695
137,b'\xb6+\x00\x00\x00\x00\x00\x00',-521.2646173880814
138,b'8\x0b\x00\x00\x00\x00\x00\x00',-521.258196192284
139,b'\xa8\x0b\x00\x00\x00\x00\x00\x00',-521.1659376852599
140,b'N8\x00\x00\x00\x00\x00\x00',-521.0384886528345
141,"b',%\x00\x00\x00\x00\x00\x00'",-520.8998031034132
142,b'\xdf\x02\x00\x00\x00\x00\x00\x00',-520.7127364127213
