,match,profit
0,15572,-9001.826948251419
1,13257,-8871.627240069438
2,16564,-8272.745192035807
3,16329,-7996.352749296514
4,14051,-7693.067044000825
5,10433,-7578.664629087332
6,11063,-7149.987175205706
7,13192,-7142.122998769803
8,15664,-7005.681193151172
9,12401,-6979.734015632445
10,16886,-6597.670359345576
11,15294,-6222.067374119206
12,14684,-6095.656766922564
13,12515,-6029.293033511018
14,12556,-5821.516837209512
15,12633,-5692.484031740976
16,13217,-5566.037280073439
17,15412,-5565.775938477766
18,12118,-5533.694375832626
19,16725,-5469.383888387463
20,10726,-5373.097252156822
21,10539,-5318.489923408046
22,13651,-5136.538659385466
23,14812,-5043.917475711221
24,16358,-5016.946637962861
25,12820,-4976.981442937717
26,12773,-4969.464013264682
27,16368,-4927.238091148753
28,15574,-4855.7350217187595
29,16486,-4659.389762078771
30,11012,-4652.467224415775
31,12187,-4506.513548225133
32,14522,-4388.66650718931
33,15475,-4354.487494400683
34,10708,-4340.568732156448
35,13877,-4320.506647093976
36,10304,-4236.263651973711
37,11137,-4156.284460389515
38,12694,-4048.180089574308
39,15429,-3914.747138637818
40,13583,-3888.3254880356376
41,10157,-3792.5055613364934
42,12792,-3780.2664914059264
43,15071,-3740.9510217011643
44,17147,-3734.9141230882906
45,10044,-3722.680136315387
46,11973,-3717.1973082871614
47,13189,-3710.884486383196
48,15233,-3707.1645048083956
49,15654,-3702.5749772525523
50,15882,-3688.965185009786
51,12838,-3676.829799282205
52,13106,-3645.912172527697
53,16914,-3626.427399558399
54,14461,-3594.3601089178783
55,15344,-3586.68360345531
56,11399,-3582.0437338619668
57,15842,-3572.3297702366704
58,10752,-3563.8357065240243
59,16128,-3545.100012955481
60,14458,-3525.503859767418
61,15990,-3513.850966307414
62,15942,-3498.4893934939614
63,17053,-3482.4732633743643
64,12078,-3444.5558922562395
65,12463,-3439.914612110408
66,11202,-3425.45166132732
67,15186,-3406.679880260409
68,12813,-3401.185987315167
69,13397,-3394.9290150747343
70,11334,-3379.0087884621958
71,11715,-3370.323561544059
72,16541,-3357.268106849183
73,11232,-3337.473928292829
74,15545,-3335.701515824902
75,16184,-3312.64585783646
76,10855,-3310.6923166024217
77,13585,-3304.122715632925
78,10192,-3294.7517586897725
79,14538,-3289.7543579279336
80,17278,-3199.544565760235
81,13964,-3184.732835325984
82,12879,-3172.655963986289
83,10251,-3164.604392948132
84,15151,-3148.7884741791167
85,17047,-3144.7970414531883
86,17432,-3144.5434813573715
87,14400,-3132.2414105767953
88,14393,-3130.7585527630768
89,10923,-3109.311643917754
90,17221,-3101.9333423601606
91,10160,-3083.8560619645255
92,11520,-3065.8884520558763
93,11490,-3057.82349409451
94,14915,-3047.153538539647
95,16330,-3031.3927580405652
96,14075,-3030.9285484814422
97,15909,-3028.248654679801
98,16361,-3025.116075858464
99,16228,-3023.313668533072
100,16148,-2951.9649827084
101,12882,-2941.38572275112
102,13469,-2940.1010728489573
103,12856,-2916.291529045722
104,13729,-2880.6073259225955
105,14081,-2880.5467293439765
106,12976,-2877.394316154395
107,17017,-2870.19277936987
108,16176,-2869.8460057586453
109,15739,-2861.5152369545604
110,14438,-2859.2572876620984
111,11721,-2846.7687761702537
112,12835,-2840.6797138853813
113,11541,-2834.2467916876503
114,15541,-2832.1104161647813
115,11890,-2829.4457592259932
116,16665,-2810.7863534563694
117,10978,-2809.6083873235198
118,15107,-2808.5824155610953
119,15537,-2808.301568175001
120,13834,-2805.714360616418
121,16074,-2794.006146093423
122,12991,-2793.972531525385
123,12568,-2786.536425051249
124,12664,-2761.8977742140496
125,11134,-2747.160140554696
126,10668,-2716.1779237037726
127,12464,-2709.721067416381
128,14963,-2707.3008743928785
129,15337,-2677.141730221146
130,13703,-2676.56520454235
131,14609,-2672.7578378496996
132,14649,-2664.6729484767015
133,11794,-2651.2034468569454
134,16277,-2645.347195255677
135,12865,-2641.984843501151
136,10380,-2614.227411528445
137,12483,-2613.097551019428
138,12993,-2604.6526959622056
139,12706,-2603.525805042189
140,14404,-2581.2585122961364
141,12247,-2580.8101887246007
142,15253,-2569.7242810752714
143,10803,-2562.0682939045682
144,14957,-2561.801904098459
145,16055,-2549.9279573986823
146,11020,-2538.8593306471225
147,12065,-2528.968231654431
148,10206,-2524.0976308594895
149,11465,-2511.9730497557516
150,11035,-2506.55828493597
151,11400,-2504.63354098232
152,11708,-2504.1306042926685
153,10653,-2503.939020958829
154,16697,-2500.9326691818987
155,16391,-2498.4384410051043
156,10553,-2491.0077586653333
157,11677,-2490.1458682767334
158,17030,-2488.5019416715886
159,16700,-2488.131727565687
160,13716,-2488.091336423143
161,14939,-2470.880249958844
162,15956,-2469.1310522273807
163,11664,-2446.2382792020653
164,16976,-2441.2838613493486
165,12379,-2441.070268113549
166,15414,-2440.023995629133
167,13787,-2439.307682336614
168,15191,-2437.34342960913
169,16688,-2437.2966569555406
170,13630,-2417.28311720492
171,14350,-2411.3327441129813
172,12488,-2408.7227136053184
173,10276,-2407.7197954991207
174,11679,-2405.089566134514
175,15591,-2404.6094946794133
176,17465,-2399.1910622743817
177,15998,-2398.2373413929026
178,10549,-2383.769138033058
179,12988,-2370.3342322239937
180,14926,-2368.6016252026634
181,11448,-2365.2642039484645
182,17390,-2365.1390569644063
183,16281,-2358.0086526873174
184,10064,-2353.1542853308233
185,12131,-2336.0389271108756
186,11661,-2328.9202794734506
187,10252,-2327.973098348994
188,11827,-2320.947330923393
189,16929,-2319.9652991555577
190,14718,-2318.058758792341
191,10353,-2314.671915484411
192,14515,-2312.6055848381484
193,16067,-2311.2453795415436
194,16096,-2299.328231443788
195,13065,-2292.4169300215212
196,16865,-2278.4206162776104
197,16536,-2273.7992617350496
198,10330,-2273.474168940666
199,12771,-2273.1264616639296
200,11095,-2271.429754869071
201,11602,-2270.9126733905637
202,15680,-2257.0815829627613
203,10979,-2244.0725924411768
204,15461,-2242.998994285254
205,11238,-2235.731446967194
206,11978,-2228.0004189712304
207,12629,-2224.333967582582
208,11457,-2212.7003261122527
209,12229,-2204.7824470985433
210,11280,-2204.049312404339
211,15702,-2204.035935225429
212,10084,-2197.2136171151797
213,17367,-2197.05309114272
214,10213,-2195.7727691902132
215,11765,-2193.6361229432273
216,14088,-2188.813094729398
