,match,profit
0,1,5479.414834394547
1,11,-2058.0
2,12,-588.0
3,15,-98.0
4,19,-1519.0
5,20,-147.0
6,21,-367.5
7,23,-735.0
8,34,-588.0
9,35,-220.5
10,42,-588.0
11,46,-661.5
12,52,-220.5
13,68,-294.0
14,71,-588.0
15,74,-882.0
16,80,-441.0
17,81,-147.0
18,83,-735.0
19,96,-294.0
20,99,-735.0
21,114,-294.0
22,116,-441.0
23,117,-441.0
24,120,-441.0
25,125,-147.0
26,126,-3822.0
27,133,-333.0
28,139,-1102.5
29,141,-367.5
30,146,-367.5
31,147,-735.0
32,148,-735.0
33,150,-735.0
34,152,-367.5
35,161,-735.0
36,169,-367.5
37,170,-367.5
38,173,-367.5
39,175,-367.5
40,179,-367.5
41,181,-735.0
42,192,-2572.5
43,199,-367.5
44,204,-735.0
45,211,-735.0
46,219,-333.0
47,238,-367.5
48,241,-367.5
49,242,-1470.0
50,243,-1102.5
51,249,-367.5
52,251,-2255.5
53,257,-771.0
54,259,-1686.5
55,264,-466.0
56,270,-1102.5
57,273,-396.0
58,279,-441.0
59,280,-396.0
60,295,-771.0
61,305,-3307.5
62,309,-2789.0
63,312,-914.0
64,313,-1435.5
65,314,-333.0
66,315,-584.0
67,316,-771.0
68,317,-492.0
69,320,-1873.5
70,324,-2205.0
71,326,-2205.0
72,329,-1873.5
73,330,-584.0
74,334,-771.0
75,340,-396.0
76,341,-914.0
77,348,-492.0
78,353,-584.0
79,355,-7011.0
80,359,-584.0
81,366,-3119.0
82,367,-492.0
83,368,-396.0
84,375,-492.0
85,376,-914.0
86,384,-5324.0
87,385,-333.0
88,390,-914.0
89,402,-1873.5
90,403,-492.0
91,404,-2976.0
92,413,-492.0
93,418,-492.0
94,420,-333.0
95,425,-396.0
96,429,-492.0
97,430,-584.0
98,432,-1102.5
99,443,-1102.5
100,449,-1102.5
101,451,-584.0
102,452,-914.0
103,467,-584.0
104,476,-333.0
105,480,-771.0
106,483,-441.0
107,492,-333.0
108,494,-418.0
109,496,-1102.5
110,498,-333.0
111,507,-914.0
112,510,-1520.5
113,513,-693.0
114,515,-584.0
115,518,-731.0
116,533,-418.0
117,537,-584.0
118,542,-441.0
119,545,-3307.5
120,546,-396.0
121,552,-396.0
122,555,-1594.5
123,556,-914.0
124,558,-2205.0
125,569,-492.0
126,572,-4410.0
127,573,-584.0
128,578,-914.0
129,588,-492.0
130,593,-492.0
131,595,-914.0
132,614,-731.0
133,633,-1102.5
134,643,-584.0
135,645,-584.0
136,651,-914.0
137,653,-492.0
138,654,-396.0
139,655,-466.0
140,656,-771.0
141,657,-914.0
142,658,-1102.5
143,666,-693.0
144,676,-492.0
145,697,-914.0
146,703,-333.0
147,705,-492.0
148,716,-418.0
149,720,-492.0
150,721,-1686.5
151,724,-2034.0
152,725,-418.0
153,729,-441.0
154,733,-492.0
155,734,-492.0
156,737,-1084.0
157,741,-418.0
158,743,-3444.0
159,746,-584.0
160,747,-492.0
161,752,-3406.0
162,753,-418.0
163,758,-914.0
164,763,-914.0
165,774,-396.0
166,779,-914.0
167,783,-1084.0
168,788,-1525.0
169,793,-584.0
170,799,-418.0
171,802,-466.0
172,805,-693.0
173,817,-693.0
174,823,-771.0
175,826,-584.0
176,828,-441.0
177,830,-771.0
178,835,-584.0
179,837,-914.0
180,838,-441.0
181,842,-584.0
182,843,-441.0
183,845,-584.0
184,856,-466.0
185,863,-466.0
186,870,-3205.0
187,872,-396.0
188,873,-492.0
189,875,-771.0
190,879,-2367.0
191,883,-1084.0
192,888,-1084.0
193,890,-441.0
194,891,-771.0
195,893,-333.0
196,905,-2713.0
197,908,-333.0
198,911,-396.0
199,912,-731.0
200,913,-1286.0
201,917,-333.0
202,921,-1286.0
203,923,-1286.0
204,925,-771.0
205,931,-731.0
206,933,-4629.75
207,936,-492.0
208,941,-1525.0
209,942,-492.0
210,946,-1943.0
211,955,-396.0
212,958,-492.0
213,962,-584.0
214,963,-466.0
215,974,-333.0
216,979,-492.0
217,980,-914.0
218,987,-1084.0
219,990,-584.0
220,994,-1286.0
221,997,-584.0
222,1003,-914.0
223,1019,-2034.0
224,1020,-693.0
225,1024,-333.0
226,1035,-333.0
227,1042,-3297.0
228,1044,-693.0
229,1049,-1084.0
230,1051,-418.0
231,1052,-584.0
232,1055,-731.0
233,1063,-1286.0
234,1070,-771.0
235,1076,-584.0
236,1085,-584.0
237,1104,-396.0
238,1115,-441.0
239,1119,-333.0
240,1126,-584.0
241,1129,-584.0
242,1130,-914.0
243,1131,-1525.0
244,1135,-492.0
245,1138,-771.0
246,1154,-333.0
247,1160,-396.0
248,1163,-418.0
249,1172,-333.0
250,1174,-2713.0
251,1177,-771.0
252,1195,-2713.0
253,1196,-771.0
254,1206,-1286.0
255,1208,-914.0
256,1210,-693.0
257,1211,-584.0
258,1216,-333.0
259,1217,-693.0
260,1226,-333.0
261,1238,-2034.0
262,1250,-1286.0
263,1261,-441.0
264,1268,-1084.0
265,1271,-693.0
266,1275,-492.0
267,1276,-731.0
268,1280,-914.0
269,1281,-2034.0
270,1284,-914.0
271,1291,-731.0
272,1297,-1286.0
273,1299,-418.0
274,1303,-2034.0
275,1308,-492.0
276,1314,-492.0
277,1318,-1286.0
278,1319,-2017.0
279,1323,-731.0
280,1324,-1286.0
281,1326,-584.0
282,1327,-466.0
283,1331,-333.0
284,1335,-771.0
285,1342,-492.0
286,1343,-333.0
287,1347,-492.0
288,1358,-1084.0
289,1359,-1084.0
290,1360,-492.0
291,1365,-333.0
292,1368,-492.0
293,1385,-333.0
294,1386,-584.0
295,1388,-492.0
296,1394,-333.0
297,1398,-418.0
298,1402,-1286.0
299,1417,-2034.0
300,1422,-1084.0
301,1424,-914.0
302,1429,-333.0
303,1432,-584.0
304,1434,-1286.0
305,1437,-771.0
306,1438,-771.0
307,1443,-771.0
308,1447,-333.0
309,1449,-396.0
310,1453,-771.0
311,1460,-1525.0
312,1461,-333.0
313,1462,-2713.0
314,1463,-466.0
315,1469,-553.0
316,1474,-396.0
317,1475,-584.0
318,1484,-553.0
319,1485,-466.0
320,1490,-441.0
321,1493,-1286.0
322,1495,-333.0
323,1500,-553.0
324,1501,-333.0
325,1505,-584.0
326,1507,-1084.0
327,1520,-333.0
328,1522,-1084.0
329,1525,-396.0
330,1547,-333.0
331,1550,-2034.0
332,1552,-2713.0
333,1553,-914.0
334,1558,-333.0
335,1564,-418.0
336,1570,-2034.0
337,1571,-466.0
338,1592,-731.0
339,1594,-418.0
340,1600,-584.0
341,1616,-333.0
